id,name,producerName,id,name,subscribersCount,data
5,Pubbliche Amministrazioni Centrali,Autorita' Nazionale Anticorruzione - A.N.AC.,3,Comuni,14,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":14}}"
5,Pubbliche Amministrazioni Centrali,Autorita' Nazionale Anticorruzione - A.N.AC.,4,Province e Città Metropolitane,3,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":3}}"
5,Pubbliche Amministrazioni Centrali,Autorita' Nazionale Anticorruzione - A.N.AC.,5,Pubbliche Amministrazioni Centrali,2,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":2}}"
5,Pubbliche Amministrazioni Centrali,Autorita' Nazionale Anticorruzione - A.N.AC.,7,Regioni e Province autonome,9,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":9}}"
5,Pubbliche Amministrazioni Centrali,Autorita' Nazionale Anticorruzione - A.N.AC.,9,Scuole,3,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""9"",""name"":""Scuole"",""subscribersCount"":3}}"
5,Pubbliche Amministrazioni Centrali,Autorita' Nazionale Anticorruzione - A.N.AC.,12,Stazioni Appaltanti e Gestori di pubblici servizi,10,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":10}}"
5,Pubbliche Amministrazioni Centrali,Autorita' Nazionale Anticorruzione - A.N.AC.,13,Privati,15,"{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""13"",""name"":""Privati"",""subscribersCount"":15}}"
5,Pubbliche Amministrazioni Centrali,Agenzia delle Entrate,1,Altre Pubbliche Amministrazioni locali,2,"{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":2}}"
5,Pubbliche Amministrazioni Centrali,Agenzia delle Entrate,3,Comuni,1,"{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
5,Pubbliche Amministrazioni Centrali,Agenzia delle Entrate,5,Pubbliche Amministrazioni Centrali,2,"{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":2}}"
5,Pubbliche Amministrazioni Centrali,Agenzia delle Entrate,7,Regioni e Province autonome,4,"{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":4}}"
5,Pubbliche Amministrazioni Centrali,Agenzia delle Entrate,12,Stazioni Appaltanti e Gestori di pubblici servizi,1,"{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":1}}"
5,Pubbliche Amministrazioni Centrali,Ministero del Lavoro e delle Politiche Sociali,1,Altre Pubbliche Amministrazioni locali,1,"{""producerName"":""Ministero del Lavoro e delle Politiche Sociali"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}}"
5,Pubbliche Amministrazioni Centrali,Ministero del Lavoro e delle Politiche Sociali,6,Enti Nazionali di Previdenza ed Assistenza Sociale,1,"{""producerName"":""Ministero del Lavoro e delle Politiche Sociali"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":1}}"
5,Pubbliche Amministrazioni Centrali,Ministero del Lavoro e delle Politiche Sociali,7,Regioni e Province autonome,3,"{""producerName"":""Ministero del Lavoro e delle Politiche Sociali"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":3}}"
